K,S_mean,S_std,W_mean,W_std,condition,forecast_derivative_mae,forecast_mae,forecast_rmse,mask_density,mask_family,mask_kind,max_support,method,num_masks,task
1,191.6079071892977,3.7299399837186566,0.14350000000000004,0.07773790464234175,drift,,,,0.05,window_1,sliding_window,1,uniform,20,regression
1,191.6079071892977,3.7299399837186566,0.14350000000000004,0.07773790464234175,drift,,,,0.05,window_1,sliding_window,1,replan_last,20,regression
1,191.6079071892977,3.7299399837186566,0.14350000000000004,0.07773790464234175,drift,,,,0.05,window_1,sliding_window,1,replan_mean,20,regression
1,191.6079071892977,3.7299399837186566,0.14350000000000004,0.07773790464234175,drift,,,,0.05,window_1,sliding_window,1,replan_ewma,20,regression
1,191.6079071892977,3.7299399837186566,0.14350000000000004,0.07773790464234175,drift,,,,0.05,window_1,sliding_window,1,replan_trend,20,regression
1,191.6079071892977,3.7299399837186566,0.14350000000000004,0.07773790464234175,drift,,,,0.05,window_1,sliding_window,1,replan_blend,20,regression
3,322.11659252441467,8.92300923154339,0.13777777777777775,0.14245806763760965,drift,,,,0.15,window_3,sliding_window,3,uniform,18,regression
3,332.25005237190635,10.815467290445879,0.12555555555555553,0.14028368102168065,drift,7.0062631988032145,31.490775086269014,42.843875133592135,0.15,window_3,sliding_window,3,replan_last,18,regression
3,328.90856702073575,9.62210530558935,0.12555555555555553,0.1405057403638599,drift,5.563396965788379,34.991710022324455,44.252396068497404,0.15,window_3,sliding_window,3,replan_mean,18,regression
3,329.3342008829431,10.421550166344554,0.12555555555555553,0.14116982261732747,drift,5.718365812920984,30.994281334795733,41.082768683108355,0.15,window_3,sliding_window,3,replan_ewma,18,regression
3,337.65093083076914,12.370027318563013,0.13,0.1486145855872095,drift,14.672966042892071,65.59690134947698,118.84555625893861,0.15,window_3,sliding_window,3,replan_trend,18,regression
3,331.1963490301003,10.485365235322574,0.1311111111111111,0.1407052941362897,drift,8.661724141569685,36.29179982740668,58.70043541282169,0.15,window_3,sliding_window,3,replan_blend,18,regression
5,424.72809258595305,12.549347195877058,0.121875,0.19831498992076402,drift,,,,0.25,window_5,sliding_window,5,uniform,16,regression
5,422.0224626996655,13.564800908889076,0.123125,0.18895792614636556,drift,7.0062631988032145,31.490775086269014,42.843875133592135,0.25,window_5,sliding_window,5,replan_last,16,regression
5,420.2161141137123,12.505414821757283,0.120625,0.19406743302420956,drift,5.563396965788379,34.991710022324455,44.252396068497404,0.25,window_5,sliding_window,5,replan_mean,16,regression
5,420.400382432107,13.554477071154766,0.114375,0.18866535997780715,drift,5.718365812920984,30.994281334795733,41.082768683108355,0.25,window_5,sliding_window,5,replan_ewma,16,regression
5,436.35127095117053,18.27209346412592,0.125625,0.1908362693303325,drift,14.672966042892071,65.59690134947698,118.84555625893861,0.25,window_5,sliding_window,5,replan_trend,16,regression
5,422.20283802541803,14.427774940290389,0.115,0.18500443620124737,drift,8.661724141569685,36.29179982740668,58.70043541282169,0.25,window_5,sliding_window,5,replan_blend,16,regression
7,464.1355594381271,13.693651075359757,0.11,0.22778997005948054,drift,,,,0.35,window_7,sliding_window,7,uniform,14,regression
7,473.140051419398,14.101731903911169,0.10785714285714285,0.21015621796975273,drift,7.0062631988032145,31.490775086269014,42.843875133592135,0.35,window_7,sliding_window,7,replan_last,14,regression
7,468.9901212628763,14.487359981105602,0.10071428571428571,0.2151485754152121,drift,5.563396965788379,34.991710022324455,44.252396068497404,0.35,window_7,sliding_window,7,replan_mean,14,regression
7,470.5447229913043,15.364049533862556,0.0957142857142857,0.21397765253978226,drift,5.718365812920984,30.994281334795733,41.082768683108355,0.35,window_7,sliding_window,7,replan_ewma,14,regression
7,493.18117754113706,25.051709669385023,0.10142857142857142,0.2154083148697557,drift,14.672966042892071,65.59690134947698,118.84555625893861,0.35,window_7,sliding_window,7,replan_trend,14,regression
7,474.7893826354515,15.723274126482984,0.1,0.20929739833131727,drift,8.661724141569685,36.29179982740668,58.70043541282169,0.35,window_7,sliding_window,7,replan_blend,14,regression
9,512.4216448428094,14.613286557856602,0.07416666666666667,0.2064799716089804,drift,,,,0.45,window_9,sliding_window,9,uniform,12,regression
