condition,mask,kind,support,num_masks,density,uniform_S,uniform_S_ci95,uniform_W,uniform_W_ci95,best_replan,replan_S,replan_S_ci95,replan_W,replan_W_ci95,delta_S_pct_vs_uniform
nodrift,maintenance_every5,cadence,4,1,0.2,673.8900029966551,0.766346337324938,0.13,0.06624754312196769,replan_last,162.54801477993308,1.0257020868473772,0.1,0.059096223537241664,-75.8791473301111
nodrift,rolling_audit_4,sliding_window,4,17,0.2,266.85296664080266,1.4880849960234825,0.1405882352941176,0.029628433444333746,replan_mean,271.6050129926421,1.8056846128624937,0.14294117647058824,0.031189739303569258,1.780773289373224
nodrift,scheduled_high_risk_last5,suffix,5,1,0.25,659.689663502341,1.0155562578976225,0.12,0.06401333194473371,replan_mean,177.3115405431438,1.2642018253997418,0.14,0.06835207725187628,-73.12197683956668
nodrift,shift_blocks_5x4,block_partition,4,5,0.2,266.85296664080266,1.4880849960234825,0.13799999999999998,0.02824280181825901,replan_mean,271.0638870153846,1.6777707586848944,0.15,0.030197598406081067,1.57799271546043
drift,maintenance_every5,cadence,4,1,0.2,696.6549263036788,1.2467639871319502,0.09,0.05637420428787363,replan_ewma,227.66610270501675,1.2702572912654242,0.1,0.059096223537241664,-67.32010438611685
drift,rolling_audit_4,sliding_window,4,17,0.2,364.88111669832773,2.207285161248964,0.12647058823529408,0.03427137493464806,replan_mean,370.98662682541794,2.6922879243766666,0.12176470588235294,0.032784829802588865,1.6732875031562835
drift,scheduled_high_risk_last5,suffix,5,1,0.25,696.3940957966556,1.438433653437619,0.11,0.061635343396103145,replan_blend,248.5403292521739,1.6298130935700434,0.11,0.061635343396103145,-64.31039109143356
drift,shift_blocks_5x4,block_partition,4,5,0.2,364.88111669832773,2.207285161248964,0.12,0.03051715861113171,replan_blend,370.47924011772574,2.4824674806693285,0.126,0.030848505423580686,1.5342321548600062
